ClassName,LOC (from Methods CFG),Number of Methods, Weighed Method Count,AttributeCount,FieldCount,DepthOfInheritance
org/assertj/core/api/IterableAssert$LazyIterable,75.0,4.0,6.0,0.0,2.0,2.0
org/assertj/core/api/IterableAssert,885.0,54.0,73.0,0.0,0.0,4.0
org/assertj/core/api/IterableSizeAssert,23.0,2.0,2.0,0.0,1.0,6.0
org/assertj/core/api/Java6AbstractBDDSoftAssertions,639.0,58.0,58.0,0.0,0.0,2.0
org/assertj/core/api/Java6AbstractStandardSoftAssertions,639.0,58.0,58.0,0.0,0.0,2.0
org/assertj/core/api/Java6Assertions,1072.0,127.0,127.0,0.0,0.0,1.0
org/assertj/core/api/Java6BDDAssertions,476.0,64.0,64.0,0.0,0.0,1.0
org/assertj/core/api/Java6BDDSoftAssertions,32.0,2.0,3.0,0.0,0.0,3.0
org/assertj/core/api/Java6JUnitBDDSoftAssertions$1,31.0,2.0,2.0,0.0,2.0,-1.0
org/assertj/core/api/Java6JUnitBDDSoftAssertions,25.0,3.0,3.0,0.0,0.0,-1.0
org/assertj/core/api/Java6JUnitSoftAssertions$1,31.0,2.0,2.0,0.0,2.0,-1.0
org/assertj/core/api/Java6JUnitSoftAssertions,17.0,2.0,2.0,0.0,0.0,-1.0
org/assertj/core/api/Java6SoftAssertions,34.0,2.0,3.0,0.0,0.0,3.0
org/assertj/core/api/JUnitBDDSoftAssertions$1,31.0,2.0,2.0,0.0,2.0,-1.0
org/assertj/core/api/JUnitBDDSoftAssertions,25.0,3.0,3.0,0.0,0.0,-1.0
org/assertj/core/api/JUnitSoftAssertions$1,31.0,2.0,2.0,0.0,2.0,-1.0
org/assertj/core/api/JUnitSoftAssertions,17.0,2.0,2.0,0.0,0.0,-1.0
org/assertj/core/api/ListAssert$ListFromStream,80.0,6.0,7.0,0.0,2.0,3.0
org/assertj/core/api/ListAssert,914.0,55.0,78.0,0.0,0.0,5.0
org/assertj/core/api/LocalDateAssert,11.0,1.0,1.0,0.0,0.0,4.0
org/assertj/core/api/LocalDateTimeAssert,11.0,1.0,1.0,0.0,0.0,4.0
org/assertj/core/api/LocalTimeAssert,11.0,1.0,1.0,0.0,0.0,4.0
org/assertj/core/api/LongArrayAssert,22.0,2.0,2.0,0.0,0.0,5.0
org/assertj/core/api/LongAssert,31.0,2.0,3.0,0.0,0.0,5.0
org/assertj/core/api/LongPredicateAssert,86.0,4.0,7.0,0.0,0.0,3.0
org/assertj/core/api/MapAssert,173.0,19.0,19.0,0.0,0.0,4.0
org/assertj/core/api/MapSizeAssert,23.0,2.0,2.0,0.0,1.0,6.0
org/assertj/core/api/NumberAssert,26.0,13.0,13.0,0.0,0.0,0.0
org/assertj/core/api/ObjectArrayAssert,22.0,2.0,2.0,0.0,0.0,3.0
org/assertj/core/api/ObjectAssert,30.0,2.0,3.0,0.0,0.0,3.0
org/assertj/core/api/ObjectAssertFactory,25.0,3.0,3.0,0.0,0.0,1.0
org/assertj/core/api/ObjectEnumerableAssert,102.0,51.0,51.0,0.0,0.0,0.0
org/assertj/core/api/OffsetDateTimeAssert,11.0,1.0,1.0,0.0,0.0,4.0
org/assertj/core/api/OffsetTimeAssert,11.0,1.0,1.0,0.0,0.0,4.0
org/assertj/core/api/OptionalAssert,11.0,1.0,1.0,0.0,0.0,3.0
org/assertj/core/api/OptionalDoubleAssert,11.0,1.0,1.0,0.0,0.0,3.0
org/assertj/core/api/OptionalIntAssert,11.0,1.0,1.0,0.0,0.0,3.0
org/assertj/core/api/OptionalLongAssert,11.0,1.0,1.0,0.0,0.0,3.0
org/assertj/core/api/PathAssert,11.0,1.0,1.0,0.0,0.0,5.0
org/assertj/core/api/PredicateAssert,47.0,5.0,5.0,0.0,0.0,3.0
org/assertj/core/api/ProxifyExtractingResult,117.0,4.0,8.0,0.0,1.0,1.0
org/assertj/core/api/ShortArrayAssert,11.0,1.0,1.0,0.0,0.0,5.0
org/assertj/core/api/ShortAssert,11.0,1.0,1.0,0.0,0.0,5.0
org/assertj/core/api/SoftAssertionClassAssert,11.0,1.0,1.0,0.0,0.0,3.0
org/assertj/core/api/SoftAssertionError,117.0,4.0,6.0,0.0,3.0,4.0
org/assertj/core/api/SoftAssertionIterableAssert,34.0,3.0,3.0,0.0,0.0,4.0
org/assertj/core/api/SoftAssertionListAssert,23.0,2.0,2.0,0.0,0.0,5.0
org/assertj/core/api/SoftAssertionMapAssert,11.0,1.0,1.0,0.0,0.0,4.0
org/assertj/core/api/SoftAssertionPredicateAssert,11.0,1.0,1.0,0.0,0.0,3.0
org/assertj/core/api/SoftAssertions,54.0,3.0,4.0,0.0,0.0,4.0
org/assertj/core/api/SoftProxies$CollectErrorsOrCreateExtractedProxy,167.0,10.0,19.0,0.0,4.0,2.0
org/assertj/core/api/SoftProxies,99.0,5.0,5.0,0.0,1.0,1.0
org/assertj/core/api/StringAssert,11.0,1.0,1.0,0.0,0.0,3.0
org/assertj/core/api/ThrowableAssert$ThrowingCallable,2.0,1.0,1.0,0.0,0.0,0.0
org/assertj/core/api/ThrowableAssert,75.0,4.0,6.0,0.0,0.0,4.0
org/assertj/core/api/ThrowableAssertAlternative,239.0,18.0,18.0,0.0,1.0,2.0
org/assertj/core/api/ThrowableTypeAssert,129.0,10.0,10.0,0.0,2.0,1.0
org/assertj/core/api/UriAssert,11.0,1.0,1.0,0.0,0.0,3.0
org/assertj/core/api/UrlAssert,11.0,1.0,1.0,0.0,0.0,3.0
org/assertj/core/api/WithAssertions,1185.0,161.0,161.0,0.0,0.0,0.0
org/assertj/core/api/WithAssumptions,548.0,78.0,78.0,0.0,0.0,0.0
org/assertj/core/api/WritableAssertionInfo,238.0,16.0,21.0,0.0,4.0,1.0
org/assertj/core/api/ZonedDateTimeAssert,11.0,1.0,1.0,0.0,0.0,4.0
org/assertj/core/condition/AllOf,85.0,6.0,8.0,0.0,0.0,3.0
org/assertj/core/condition/AnyOf,85.0,6.0,8.0,0.0,0.0,3.0
org/assertj/core/condition/DoesNotHave,33.0,3.0,3.0,0.0,0.0,3.0
org/assertj/core/condition/Join,130.0,5.0,9.0,0.0,1.0,2.0
org/assertj/core/condition/Negative,31.0,2.0,3.0,0.0,1.0,2.0
org/assertj/core/condition/Not,33.0,3.0,3.0,0.0,0.0,3.0
org/assertj/core/configuration/ConfigurationProvider,33.0,3.0,3.0,0.0,2.0,1.0
org/assertj/core/configuration/Services,66.0,2.0,4.0,0.0,0.0,1.0
org/assertj/core/data/Index,125.0,5.0,10.0,0.0,1.0,1.0
org/assertj/core/data/MapEntry,111.0,8.0,11.0,0.0,2.0,1.0
org/assertj/core/data/Offset,132.0,5.0,9.0,0.0,1.0,1.0
org/assertj/core/data/Percentage,165.0,6.0,12.0,0.0,1.0,1.0
org/assertj/core/data/TemporalOffset,4.0,2.0,2.0,0.0,0.0,0.0
org/assertj/core/data/TemporalUnitLessThanOffset,44.0,3.0,4.0,0.0,0.0,2.0
org/assertj/core/data/TemporalUnitOffset,109.0,6.0,7.0,0.0,2.0,1.0
org/assertj/core/data/TemporalUnitWithinOffset,44.0,3.0,4.0,0.0,0.0,2.0
org/assertj/core/description/Description,61.0,5.0,9.0,0.0,0.0,1.0
org/assertj/core/description/EmptyTextDescription,27.0,3.0,3.0,0.0,1.0,3.0
org/assertj/core/description/TextDescription,114.0,4.0,11.0,0.0,2.0,2.0
org/assertj/core/error/AbstractShouldHaveTextContent,67.0,3.0,4.0,0.0,1.0,2.0
org/assertj/core/error/AssertionErrorFactory,2.0,1.0,1.0,0.0,0.0,0.0
org/assertj/core/error/BasicErrorMessageFactory$UnquotedString,152.0,8.0,15.0,0.0,1.0,1.0
org/assertj/core/error/BasicErrorMessageFactory,200.0,8.0,12.0,0.0,3.0,1.0
org/assertj/core/error/ClassModifierShouldBe,90.0,5.0,6.0,0.0,0.0,2.0
org/assertj/core/error/ConditionAndGroupGenericParameterTypeShouldBeTheSame,30.0,2.0,2.0,0.0,0.0,2.0
org/assertj/core/error/ConstructorInvoker$SetAccessibleValueAction,48.0,4.0,4.0,0.0,2.0,1.0
org/assertj/core/error/ConstructorInvoker,90.0,3.0,4.0,0.0,0.0,1.0
org/assertj/core/error/DescriptionFormatter,56.0,4.0,6.0,0.0,1.0,1.0
org/assertj/core/error/ElementsShouldBe,35.0,2.0,2.0,0.0,0.0,2.0
org/assertj/core/error/ElementsShouldBeAtLeast,36.0,2.0,2.0,0.0,0.0,2.0
org/assertj/core/error/ElementsShouldBeAtMost,36.0,2.0,2.0,0.0,0.0,2.0
org/assertj/core/error/ElementsShouldBeExactly,36.0,2.0,2.0,0.0,0.0,2.0
org/assertj/core/error/ElementsShouldHave,35.0,2.0,2.0,0.0,0.0,2.0
org/assertj/core/error/ElementsShouldHaveAtLeast,36.0,2.0,2.0,0.0,0.0,2.0
org/assertj/core/error/ElementsShouldHaveAtMost,36.0,2.0,2.0,0.0,0.0,2.0
org/assertj/core/error/ElementsShouldHaveExactly,36.0,2.0,2.0,0.0,0.0,2.0
org/assertj/core/error/ElementsShouldMatch,78.0,3.0,4.0,0.0,2.0,2.0
org/assertj/core/error/ElementsShouldNotBe,35.0,2.0,2.0,0.0,0.0,2.0
org/assertj/core/error/ElementsShouldNotHave,35.0,2.0,2.0,0.0,0.0,2.0
org/assertj/core/error/ElementsShouldSatisfy,64.0,4.0,4.0,0.0,0.0,2.0
org/assertj/core/error/ErrorMessageFactory,6.0,3.0,3.0,0.0,0.0,0.0
org/assertj/core/error/future/ShouldBeCancelled,25.0,2.0,2.0,0.0,1.0,2.0
org/assertj/core/error/future/ShouldBeCompleted,25.0,2.0,2.0,0.0,1.0,2.0
org/assertj/core/error/future/ShouldBeCompletedExceptionally,25.0,2.0,2.0,0.0,1.0,2.0
org/assertj/core/error/future/ShouldBeDone,25.0,2.0,2.0,0.0,1.0,2.0
org/assertj/core/error/future/ShouldHaveFailed,25.0,2.0,2.0,0.0,1.0,2.0
org/assertj/core/error/future/ShouldNotBeCancelled,25.0,2.0,2.0,0.0,1.0,2.0
org/assertj/core/error/future/ShouldNotBeCompleted,25.0,2.0,2.0,0.0,1.0,2.0
org/assertj/core/error/future/ShouldNotBeCompletedExceptionally,25.0,2.0,2.0,0.0,1.0,2.0
org/assertj/core/error/future/ShouldNotBeDone,25.0,2.0,2.0,0.0,1.0,2.0
org/assertj/core/error/future/ShouldNotHaveFailed,25.0,2.0,2.0,0.0,1.0,2.0
org/assertj/core/error/MessageFormatter,122.0,6.0,8.0,0.0,2.0,1.0
org/assertj/core/error/NoElementsShouldMatch,37.0,2.0,2.0,0.0,0.0,2.0
org/assertj/core/error/OptionalDoubleShouldHaveValueCloseTo,76.0,4.0,4.0,0.0,0.0,2.0
org/assertj/core/error/OptionalShouldBeEmpty,76.0,5.0,5.0,0.0,0.0,2.0
org/assertj/core/error/OptionalShouldBePresent,30.0,2.0,2.0,0.0,0.0,2.0
org/assertj/core/error/OptionalShouldContain,176.0,8.0,13.0,0.0,2.0,2.0
org/assertj/core/error/OptionalShouldContainInstanceOf,84.0,2.0,3.0,0.0,0.0,2.0
org/assertj/core/error/ShouldAccept,37.0,2.0,2.0,0.0,0.0,2.0
org/assertj/core/error/ShouldBe,30.0,2.0,2.0,0.0,0.0,2.0
org/assertj/core/error/ShouldBeAbsolutePath,50.0,4.0,4.0,0.0,1.0,2.0
org/assertj/core/error/ShouldBeAfter,69.0,4.0,4.0,0.0,0.0,2.0
org/assertj/core/error/ShouldBeAfterOrEqualsTo,46.0,3.0,3.0,0.0,0.0,2.0
org/assertj/core/error/ShouldBeAfterYear,47.0,3.0,3.0,0.0,0.0,2.0
org/assertj/core/error/ShouldBeAnArray,25.0,2.0,2.0,0.0,0.0,2.0
org/assertj/core/error/ShouldBeAnnotation,52.0,3.0,4.0,0.0,0.0,2.0
org/assertj/core/error/ShouldBeAssignableFrom,37.0,2.0,2.0,0.0,0.0,2.0
org/assertj/core/error/ShouldBeAtIndex,42.0,2.0,2.0,0.0,0.0,2.0
org/assertj/core/error/ShouldBeBefore,46.0,3.0,3.0,0.0,0.0,2.0
org/assertj/core/error/ShouldBeBeforeOrEqualsTo,46.0,3.0,3.0,0.0,0.0,2.0
org/assertj/core/error/ShouldBeBeforeYear,47.0,3.0,3.0,0.0,0.0,2.0
org/assertj/core/error/ShouldBeBetween,176.0,6.0,10.0,0.0,0.0,2.0
org/assertj/core/error/ShouldBeBlank,25.0,2.0,2.0,0.0,0.0,2.0
org/assertj/core/error/ShouldBeCanonicalPath,25.0,2.0,2.0,0.0,1.0,2.0
org/assertj/core/error/ShouldBeCloseTo,89.0,4.0,4.0,0.0,0.0,2.0
org/assertj/core/error/ShouldBeDirectory,50.0,4.0,4.0,0.0,2.0,2.0
org/assertj/core/error/ShouldBeEmpty,25.0,2.0,2.0,0.0,0.0,2.0
org/assertj/core/error/ShouldBeEqual,566.0,16.0,31.0,0.0,11.0,1.0
org/assertj/core/error/ShouldBeEqualByComparingFieldByFieldRecursively,174.0,3.0,6.0,0.0,0.0,2.0
org/assertj/core/error/ShouldBeEqualByComparingOnlyGivenFields,114.0,3.0,4.0,0.0,0.0,2.0
org/assertj/core/error/ShouldBeEqualIgnoringCase,30.0,2.0,2.0,0.0,0.0,2.0
org/assertj/core/error/ShouldBeEqualIgnoringHours,30.0,2.0,2.0,0.0,0.0,2.0
org/assertj/core/error/ShouldBeEqualIgnoringMinutes,90.0,6.0,6.0,0.0,0.0,2.0
org/assertj/core/error/ShouldBeEqualIgnoringNanos,92.0,6.0,6.0,0.0,0.0,2.0
org/assertj/core/error/ShouldBeEqualIgnoringNewLineDifferences,32.0,2.0,2.0,0.0,0.0,2.0
org/assertj/core/error/ShouldBeEqualIgnoringSeconds,92.0,6.0,6.0,0.0,0.0,2.0
org/assertj/core/error/ShouldBeEqualIgnoringTimezone,40.0,3.0,3.0,0.0,0.0,2.0
org/assertj/core/error/ShouldBeEqualIgnoringWhitespace,30.0,2.0,2.0,0.0,0.0,2.0
org/assertj/core/error/ShouldBeEqualNormalizingWhitespace,30.0,2.0,2.0,0.0,0.0,2.0
org/assertj/core/error/ShouldBeEqualToIgnoringFields,207.0,5.0,8.0,0.0,4.0,2.0
org/assertj/core/error/ShouldBeEqualWithinOffset,48.0,2.0,2.0,0.0,0.0,2.0
org/assertj/core/error/ShouldBeEqualWithinPercentage,57.0,2.0,2.0,0.0,0.0,2.0
org/assertj/core/error/ShouldBeEqualWithTimePrecision,126.0,3.0,7.0,0.0,0.0,2.0
org/assertj/core/error/ShouldBeExactlyInstanceOf,81.0,3.0,4.0,0.0,0.0,2.0
org/assertj/core/error/ShouldBeExecutable,50.0,4.0,4.0,0.0,1.0,2.0
org/assertj/core/error/ShouldBeFile,25.0,2.0,2.0,0.0,0.0,2.0
org/assertj/core/error/ShouldBeGreater,46.0,3.0,3.0,0.0,0.0,2.0
