Java File Name,Lines,Comments,Lines of code,Updated comments,Updated LOC,% of comments
./java/org/assertj/core/internal/Doubles.java,68,3,65,24,44,35.29
./java/org/assertj/core/internal/Shorts.java,68,3,65,24,44,35.29
./java/org/assertj/core/condition/Join.java,79,5,74,36,43,45.57
./java/org/assertj/core/data/Index.java,68,3,65,25,43,36.76
./java/org/assertj/core/internal/Floats.java,68,3,65,25,43,36.76
./java/org/assertj/core/util/diff/myers/PathNode.java,96,10,86,53,43,55.21
./java/org/assertj/core/api/AbstractOptionalLongAssert.java,128,7,121,86,42,67.19
./java/org/assertj/core/api/ClassBasedNavigableIterableAssert.java,59,2,57,17,42,28.81
./java/org/assertj/core/api/ComparatorFactory.java,54,1,53,12,42,22.22
./java/org/assertj/core/error/AbstractShouldHaveTextContent.java,57,2,55,15,42,26.32
./java/org/assertj/core/error/ShouldBeBetween.java,100,6,94,58,42,58.00
./java/org/assertj/core/error/ShouldContainCharSequence.java,101,7,94,59,42,58.42
./java/org/assertj/core/error/ShouldHaveNoNullFields.java,60,2,58,18,42,30.00
./java/org/assertj/core/error/ShouldOnlyHaveElementsOfTypes.java,68,3,65,26,42,38.24
./java/org/assertj/core/internal/Bytes.java,66,3,63,24,42,36.36
./java/org/assertj/core/internal/Integers.java,66,3,63,24,42,36.36
./java/org/assertj/core/internal/Longs.java,66,3,63,24,42,36.36
./java/org/assertj/core/presentation/PredicateDescription.java,66,3,63,24,42,36.36
./java/org/assertj/core/api/ThrowableAssert.java,66,2,64,25,41,37.88
./java/org/assertj/core/description/TextDescription.java,67,3,64,26,41,38.81
./java/org/assertj/core/presentation/NumberGrouping.java,56,2,54,15,41,26.79
./java/org/assertj/core/api/AbstractBooleanAssert.java,137,7,130,97,40,70.80
./java/org/assertj/core/error/ShouldNotExist.java,65,3,62,25,40,38.46
./java/org/assertj/core/error/uri/ShouldHavePath.java,52,1,51,12,40,23.08
./java/org/assertj/core/error/ConstructorInvoker.java,59,2,57,20,39,33.90
./java/org/assertj/core/error/ShouldContainEntry.java,73,4,69,34,39,46.58
./java/org/assertj/core/internal/Booleans.java,78,5,73,39,39,50.00
./java/org/assertj/core/internal/Characters.java,76,5,71,37,39,48.68
