Class Method Name, LOC (from CFG), Cyclomatic Complexity
org/assertj/core/api/AbstractCharSequenceAssert.hasSize,19.0,1.0
org/assertj/core/api/AbstractCharSequenceAssert.hasLineCount,19.0,1.0
org/assertj/core/api/AbstractCharSequenceAssert.hasSameSizeAs,19.0,1.0
org/assertj/core/api/AbstractCharSequenceAssert.hasSameSizeAs,19.0,1.0
org/assertj/core/api/AbstractCharSequenceAssert.hasSameSizeAs,19.0,1.0
org/assertj/core/api/AbstractCharSequenceAssert.isEqualToIgnoringCase,19.0,1.0
org/assertj/core/api/AbstractCharSequenceAssert.isNotEqualToIgnoringCase,19.0,1.0
org/assertj/core/api/AbstractCharSequenceAssert.containsOnlyDigits,18.0,1.0
org/assertj/core/api/AbstractCharSequenceAssert.containsOnlyOnce,19.0,1.0
org/assertj/core/api/AbstractCharSequenceAssert.contains,19.0,1.0
org/assertj/core/api/AbstractCharSequenceAssert.contains,22.0,1.0
org/assertj/core/api/AbstractCharSequenceAssert.containsSequence,19.0,1.0
org/assertj/core/api/AbstractCharSequenceAssert.containsSequence,22.0,1.0
org/assertj/core/api/AbstractCharSequenceAssert.containsIgnoringCase,19.0,1.0
org/assertj/core/api/AbstractCharSequenceAssert.doesNotContain,19.0,1.0
org/assertj/core/api/AbstractCharSequenceAssert.doesNotContainPattern,19.0,1.0
org/assertj/core/api/AbstractCharSequenceAssert.doesNotContainPattern,19.0,1.0
org/assertj/core/api/AbstractCharSequenceAssert.startsWith,19.0,1.0
org/assertj/core/api/AbstractCharSequenceAssert.doesNotStartWith,19.0,1.0
org/assertj/core/api/AbstractCharSequenceAssert.endsWith,19.0,1.0
org/assertj/core/api/AbstractCharSequenceAssert.doesNotEndWith,19.0,1.0
org/assertj/core/api/AbstractCharSequenceAssert.matches,19.0,1.0
org/assertj/core/api/AbstractCharSequenceAssert.doesNotMatch,19.0,1.0
org/assertj/core/api/AbstractCharSequenceAssert.matches,19.0,1.0
org/assertj/core/api/AbstractCharSequenceAssert.doesNotMatch,19.0,1.0
org/assertj/core/api/AbstractCharSequenceAssert.isXmlEqualTo,19.0,1.0
org/assertj/core/api/AbstractCharSequenceAssert.isXmlEqualToContentOf,15.0,1.0
org/assertj/core/api/AbstractCharSequenceAssert.usingElementComparator,9.0,1.0
org/assertj/core/api/AbstractCharSequenceAssert.usingDefaultElementComparator,9.0,1.0
org/assertj/core/api/AbstractCharSequenceAssert.usingComparator,25.0,1.0
