Class Name,LOC (from Methods CFG),Number of Methods, Weighed Method Count
org/assertj/core/error/ShouldEndWith,46,3,3
org/assertj/core/error/ShouldNotBeEqual,46,3,3
org/assertj/core/error/ShouldNotBeIn,46,3,3
org/assertj/core/error/ShouldNotContainCharSequence,46,3,3
org/assertj/core/error/ShouldNotEndWith,46,3,3
org/assertj/core/error/ShouldNotHaveDuplicates,46,3,3
org/assertj/core/error/ShouldNotStartWith,46,3,3
org/assertj/core/error/ShouldStartWith,46,3,3
org/assertj/core/error/ShouldBeMarked,44,3,4
org/assertj/core/error/ShouldBeInTheFuture,40,3,3
org/assertj/core/error/ShouldBeInThePast,40,3,3
org/assertj/core/error/ShouldBeToday,40,3,3
org/assertj/core/internal/Strings$Whitespace,37,3,4
org/assertj/core/api/SoftAssertionIterableAssert,34,3,3
org/assertj/core/condition/DoesNotHave,33,3,3
org/assertj/core/condition/Not,33,3,3
org/assertj/core/api/filter/InFilter,29,3,3
org/assertj/core/api/ClassAssert,28,3,3
org/assertj/core/description/EmptyTextDescription,27,3,3
org/assertj/core/error/ShouldNotBeEmpty,27,3,3
org/assertj/core/error/ShouldNotBeNull,27,3,3
org/assertj/core/api/Java6JUnitBDDSoftAssertions,25,3,3
org/assertj/core/api/JUnitBDDSoftAssertions,25,3,3
org/assertj/core/api/ObjectAssertFactory,25,3,3
org/assertj/core/extractor/ToStringExtractor,25,3,3
org/assertj/core/api/AbstractDateAssert$1,24,3,3
org/assertj/core/util/Compatibility$System,21,3,3
org/assertj/core/util/FailureMessages,19,3,3
org/assertj/core/api/AssertionInfo,6,3,3
org/assertj/core/error/ErrorMessageFactory,6,3,3
org/assertj/core/extractor/ByNameSingleExtractor,90,2,6
org/assertj/core/error/ShouldBeEqualWithinPercentage,57,2,2
org/assertj/core/error/ShouldNotBeEqualWithinPercentage,57,2,2
org/assertj/core/error/ShouldBeCloseTo,51,2,2
org/assertj/core/error/ShouldBeEqualWithinOffset,48,2,2
org/assertj/core/error/ShouldHaveSameSizeAs,48,2,2
org/assertj/core/error/ShouldNotBeEqualWithinOffset,48,2,2
org/assertj/core/error/ShouldHaveSuppressedException,46,2,2
org/assertj/core/error/ShouldBeInSameHourWindow,44,2,2
org/assertj/core/error/ShouldBeInSameMinuteWindow,44,2,2
org/assertj/core/error/ShouldBeInSameSecondWindow,44,2,2
org/assertj/core/error/ShouldHaveLineCount,44,2,2
org/assertj/core/error/ShouldHaveSameTime,44,2,2
org/assertj/core/error/ShouldHaveSize,44,2,2
org/assertj/core/error/ShouldContainValues,43,2,3
org/assertj/core/error/ShouldNotContainKeys,43,2,3
org/assertj/core/util/Strings$StringToAppend,43,2,3
org/assertj/core/error/ShouldBeAtIndex,42,2,2
org/assertj/core/error/ShouldHaveAtIndex,42,2,2
org/assertj/core/error/ShouldHavePropertyOrFieldWithValue,42,2,2
org/assertj/core/error/ShouldHaveSameClass,42,2,2
org/assertj/core/internal/StandardComparisonStrategy$1,40,2,4
org/assertj/core/error/ShouldBeAssignableFrom,37,2,2
org/assertj/core/error/ShouldHaveStamp,37,2,2
org/assertj/core/error/ShouldHaveTime,37,2,2
org/assertj/core/error/uri/ShouldHaveProtocol,37,2,2
org/assertj/core/error/ElementsShouldBeAtLeast,36,2,2
org/assertj/core/error/ElementsShouldBeAtMost,36,2,2
org/assertj/core/error/ElementsShouldBeExactly,36,2,2
org/assertj/core/error/ElementsShouldHaveAtLeast,36,2,2
org/assertj/core/error/ElementsShouldHaveAtMost,36,2,2
org/assertj/core/error/ElementsShouldHaveExactly,36,2,2
org/assertj/core/error/ShouldHaveDateField,36,2,2
org/assertj/core/error/ShouldHaveMessageMatchingRegex,36,2,2
org/assertj/core/error/ElementsShouldBe,35,2,2
org/assertj/core/error/ElementsShouldHave,35,2,2
org/assertj/core/error/ElementsShouldNotBe,35,2,2
org/assertj/core/error/ElementsShouldNotHave,35,2,2
org/assertj/core/error/ShouldBeOfClassIn,35,2,2
org/assertj/core/error/ShouldBeSubstring,35,2,2
org/assertj/core/error/ShouldHaveAnnotations,35,2,2
org/assertj/core/error/ShouldHaveOnlyElementsOfType,35,2,2
org/assertj/core/error/ShouldHaveReference,35,2,2
org/assertj/core/error/ShouldNotBeOfClassIn,35,2,2
org/assertj/core/error/ShouldNotHaveSameClass,35,2,2
org/assertj/core/error/uri/ShouldHaveScheme,35,2,2
org/assertj/core/api/Java6SoftAssertions,34,2,3
org/assertj/core/api/SoftAssertions,34,2,3
org/assertj/core/api/BDDSoftAssertions,32,2,3
org/assertj/core/api/Java6BDDSoftAssertions,32,2,3
org/assertj/core/error/ShouldBeEqualIgnoringNewLineDifferences,32,2,2
org/assertj/core/error/ShouldContainKey,32,2,2
org/assertj/core/error/ShouldNotContainPattern,32,2,2
org/assertj/core/api/BooleanAssert,31,2,3
org/assertj/core/api/IntegerAssert,31,2,3
org/assertj/core/api/Java6JUnitBDDSoftAssertions$1,31,2,2
org/assertj/core/api/Java6JUnitSoftAssertions$1,31,2,2
org/assertj/core/api/JUnitBDDSoftAssertions$1,31,2,2
org/assertj/core/api/JUnitSoftAssertions$1,31,2,2
org/assertj/core/api/LongAssert,31,2,3
org/assertj/core/condition/Negative,31,2,3
org/assertj/core/error/ShouldHaveMessage,31,2,2
org/assertj/core/api/FactoryBasedNavigableIterableAssert,30,2,2
org/assertj/core/api/FactoryBasedNavigableListAssert,30,2,2
org/assertj/core/api/ObjectAssert,30,2,3
org/assertj/core/error/ConditionAndGroupGenericParameterTypeShouldBeTheSame,30,2,2
org/assertj/core/error/ShouldBe,30,2,2
org/assertj/core/error/ShouldBeEqualIgnoringCase,30,2,2
org/assertj/core/error/ShouldBeEqualIgnoringWhitespace,30,2,2
org/assertj/core/error/ShouldBeEqualNormalizingWhitespace,30,2,2
org/assertj/core/error/ShouldBeInSameDay,30,2,2
org/assertj/core/error/ShouldBeInSameHour,30,2,2
org/assertj/core/error/ShouldBeInSameMinute,30,2,2
org/assertj/core/error/ShouldBeInSameMonth,30,2,2
org/assertj/core/error/ShouldBeInSameSecond,30,2,2
org/assertj/core/error/ShouldBeInSameYear,30,2,2
org/assertj/core/error/ShouldBeSame,30,2,2
org/assertj/core/error/ShouldContainPattern,30,2,2
org/assertj/core/error/ShouldEndWithPath,30,2,2
org/assertj/core/error/ShouldHave,30,2,2
org/assertj/core/error/ShouldHaveAtLeastOneElementOfType,30,2,2
org/assertj/core/error/ShouldHavePropertyOrField,30,2,2
org/assertj/core/error/ShouldHaveToString,30,2,2
org/assertj/core/error/ShouldMatchPattern,30,2,2
org/assertj/core/error/ShouldNotBe,30,2,2
org/assertj/core/error/ShouldNotBeEqualIgnoringCase,30,2,2
